S/N,Job Title,Job Description,Agency,Department
134,"[LTA-IDE] EXECUTIVE ENGINEER, BRIDGE ENGG & STRUCTURES","</strong></p>EXECUTIVE ENGINEER, BRIDGE ENGG &amp; STRUCTURES<p></p><p><strong> </strong></p><p><span>• Tertiary qualification in Civil / Structural Engineering or equivalent </span></p><p><span>• At least 3 years of relevant experience in Civil / Structural Engineering design with knowledge in structural design and construction of underground engineering works / bridges /rail </span></p><p><span>• Keen interest in land transport infrastructure projects </span></p><p><span>• Good analytical, communication and interpersonal skills </span></p><p><span>• Candidates with strong relevant years of experience will be considered for senior roles</span></p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p><span>You will be involved in the planning and design development of bridge engineering and structures projects. You will conduct feasibility and engineering studies, review design submissions or carry out detailed civil and structural design for road / rail projects. You will also be involved in management of design consultants, conducting project safety reviews and construction audits for major infrastructure projects, reviewing engineering standards as well as providing technical support to construction teams and other LTA technical divisions for project implementation. </span></p><p></p><p><strong>",Land Transport Authority,Engineering
135,"[LTA-TRO] ASSISTANT MANAGER, ACTIVE MOBILITY ENFORCEMENT","</strong></p>[LTA-TRO] ASSISTANT MANAGER, ACTIVE MOBILITY ENFORCEMENT <p></p><p><strong> </strong></p><p>• Knowledge in any discipline  </p><p>• At least 3 years’ working experience, preferably in enforcement, policy formulation and/or service industry  </p><p>• Possess the ability to think strategically with strong analytical skills, and an acumen for ground operations. Provide suggestions to improve daily work processes through SOPs and ROEs. Possess a firm grasp on ground terrain, and a keen sense on the latest developments on the ground. Example: demographics, time of high activity, hotspots, new device types, etc.  </p><p>•  Ability to manage external Service Provider via a Contract. Example: budget, calling, awarding, invoicing, etc.  </p><p>• Inclination towards problem solving through data sense-making, and ability to translate the insights into ground Concept of Operations and deployment strategies.    </p><p>• Bilingual (with one dialect) with good spoken/written skills. Ability to manage publics&#39; expectations through replying to feedback, and act as a conduit between Enforcement Officers and management.   </p><p>• Self-motivated and able to work independently as well as in a team. Positive attitude and able to thrive in a fast-paced working environment.  </p><p>• Having Class 3 and/or Class 2B driving licence will be an advantage  </p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and/ or undergo further assessment.</p> </strong></p><p><span>You will be performing statistics collation, sense-making, and presentation to Management on data insights, and proposals for improvements of ground operations.</span></p><p></p><p>You will manage feedback, and is thus expected to possess the ability to grasp feedback providers&#39; pain points, and possess the ability to provide satisfactory replies and follow up with alleviating their pain points through deployments. You will be responsible for the daily deployment operations of the Section. In addition, you are required to work closely with other Divisions and external agencies on operations, community engagement, and any other related matters pertaining to active mobility enforcement.  </p><p>  </p><p>Other duties will include providing inputs to training materials for Enforcement Officers.  </p><p></p><p><strong>",Land Transport Authority,Enforcement
136,"Assistant Manager/Manager (Protection Officer), RPG/Ops","Description of Group: 
Looking for a workplace with passion and commitment to empower and restore lives of the vulnerable population in Singapore? Join the Rehabilitation and Protection Group (RPG)! RPG undertakes the statutory functions in the rehabilitation of adult and youth offenders, and the protection of children and families. Our mission is to empower individuals and families to break cycles of abuse, neglect and offending. You influence and shape lives, and in the process, the future of the rehabilitation and protection landscape in Singapore. To support your professional development, you will receive comprehensive training and develop foundational capabilities and knowledge on rehabilitation and protection work. You will also be given the opportunities to rotate to different exciting roles within RPG and broaden your perspectives, skills and experiences.

Description of Division: 
As part of the RPG family, the Protective Service (PSV)/Operations (OPS) Division is dedicated to safeguarding the safety and well-being of individuals vulnerable to abuse, neglect, or exploitation—including children, vulnerable adults, and families affected by domestic violence. We provide statutory interventions and supportive services for those who have been seriously harmed or are at high risk of serious harm, ensuring timely, coordinated responses to meet their needs and uphold their protection.

Additionally, PSV/OPS plays a key role in facilitating the child adoption process, ensuring the welfare of both the child and adoptive family. PSV/OPS adopts a holistic approach through early intervention, comprehensive assessments, case management, and crisis response. Our team works in close collaboration with social service agencies, healthcare professionals, law enforcement, and community partners to identify risks, develop safety plans and provide ongoing support. Requirements:
•	Background in Social Work, Psychology or related discipline
•	Experience in working with vulnerable groups or with investigative experience in social service settings is an added advantage
•	Able to work calmly in highly stressful situations and environment
•	Be tenacious and resilient in handling difficult situations/clients • High level of emotional resilience
•	Good engagement, assessment, problem solving and multi-tasking skills
•	Good analytical and critical thinking abilities
•	Enjoy teamwork

Career Development:
•	We provide an individual career development plan for each staff.
•	We provide opportunities for staff rotation to different work areas in RPG/MSF to broaden perspectives, skills and experiences.
•	We believe and invest in staff training and development. You will receive comprehensive training and develop foundational capabilities and knowledge on rehabilitation and protection work. We also provide sponsorships/scholarships for staff training and studies to support professional development.

Functional Competencies:
•	Professional Practice
•	Case Management-Engagement, Assessment, and Planning
•	Case Management- Intervention, Review and Documentation Responsibilities:
As an Assistant Manager/Manager, you will:
• Provide statutory intervention and support to children, Vulnerable Adults (VAs) experiencing abuse, neglect or self-neglect, and egregious cases of Family Violence with imminent danger.
• Conduct comprehensive social investigations and provide case management for children who have been abused and neglected, and Vas experiencing abuse, neglect or self-neglect.
• Work closely with the public and people sectors to offer statutory guidance, care, and protection for children who have been abused or neglected, and VAs experiencing abuse, neglect or self-neglect.",Ministry Of Social And Family Development,Social and Community Development
137,"Lead Engineering Manager (Salesforce), SIR/CCPO","We are now looking for a talented and experienced Lead Engineering Manager to join us in this mission to lead and manage technical teams of software engineers, DevOps engineers, infra/integration engineers and UX designers to design world class Salesforce applications for Service Cloud and/or Public Sector Solutions.

As a Lead Engineering Manager, you will oversee the development of innovative Salesforce solutions aligned with the product vision of CaseCentral, a case management platform at the Ministry of Social and Family Development (MSF). •	Relevant qualifications in any of the following: Computer Science, Computer or Electronics Engineering, Information Technology or related technical discipline
•	Minimum 10 years of relevant professional work experience relating to software engineering, solution engineering or system engineering with at least 6 years of hands-on experience
•	Minimal 3 years business analyst experience in software development projects and Agile methodologies e.g. SCRUM
•	Minimal 3 years’ experience working in an Agile environment and Cloud platform.
•	Experience with Government Commercial Cloud (GCC) environment
•	8+ years of experience working with Salesforce, including at least 2 years in a leadership role
•	Proven track record of implementing large-scale, high-availability Salesforce solutions, preferably in the public sector or social services
•	Proven track record of people management (working with software engineers, DevOps engineers or infra/integration engineers) and being able to develop individuals’ careers and motivation to achieve team’s outcomes

•	Certifications:
Required
- Salesforce Advanced Administrator
- Salesforce Platform App Builder
- Salesforce Platform Developer I
- Salesforce Platform Developer II

Preferred:
- Salesforce Service Cloud Consultant
- Salesforce Experience Cloud Consultant
- Salesforce Omnistudio Consultant

•	Advanced knowledge of Salesforce development and customisation, including:
- Apex development
- Visualforce page development
- Lightning component development
- Experience with 3rd party API integrations
- Experience with data migration through other CRM tools, e.g., data loader

•	Extensive configuration experience, including:
- Administration setup (managing org, users, profiles, roles, security controls)
- Custom object and field design
- Workflow, approval processes, and validation rules
- Report and dashboard configuration
- Experience with OmniStudio and OmniScript

•	Strong understanding of Salesforce public sector solutions and their application in case management systems
•	Competent in Python and Java programming language
•	Possess business case and user-stories development skills
•	Process good communication skills, ability to articulate technology concepts, participate in discussions on requirements with stakeholders
•	Process strong collaboration skills, ability to partner and work effectively across teams and with business stakeholders in development as well as problem solving
•	Process good knowledge of web, mobile and Cloud technologies, and their impact and feasibility on design solutions
•	Experience with Confluence and JIRA
•	Experience implementing Salesforce solutions in government or social services organisations
•	Knowledge of data protection regulations and privacy considerations in the social services sector
•	Excellent leadership and mentoring skills, with 2 years of experience coaching Salesforce developers
•	Passion for engineering excellence and working for the public good
•	Strong communication skills and ability to collaborate with diverse stakeholders 
•	Ability to deal with uncertainty and adapt to changes
•	Ability to work effectively and independently under pressure, meet deadlines, multitask and to prioritize tasks effectively

Only shortlisted candidates will be notified within 4 weeks from the closing date of this position. •	Form part of the CaseCentral Product Office with the Product Director and Product Strategy Lead to manage the entire product development cycle, from conceptualisation, to getting buy-in with internal and external stakeholders, till delivering the product to end users.
•	Lead the software engineering, DevOps, infra/integration technical functions in the product team and make technical decisions as well as advise the team on the software development approach to take, considering the trade-offs between the approaches and mitigating known drawbacks.
•	Define engineering scope of work based on defined features and requirements and oversee the day-to-day development, working closely with Product Director, Product Strategy Team and agile development team on project schedule, issues and escalation
•	Work with Product Director and Product Strategy Lead to craft and refine user stories by providing technical analysis; and building the Product Backlog with prioritization to define software features and implement software releases that meet their business needs
•	Review and participate in technical proposal or solution, system design and architecture to ensure they are of quality, while adhering to all standards, governance, and policies
•	Manage IT team’s resources and resource allocation, including securing approval; monitor and track project resource usage
•	Integrate software engineering, DevOps, infra/integration guidelines and processes, considering industry best practices and tools, into software development activities
•	Propose feasible ideas and solutions, or engage subject matter expert to provide aid and improve the quality of the product
•	Coordinate with relevant teams of interfacing systems to ensure smooth end-to end workflows can be achieved reliably, and efficiently
•	Work with Product Owner, Product Manager and Development Team to plan and design UAT, coordinate and monitor progress and ensure acceptance of UAT
•	Review and ensure that all documentations are complete and of quality
•	Maintain and continuously refine Product Backlog
•	Guide the engineering team to configure and customise production quality code and to deliver solutions to the end users
•	Partner with cross-functional teams such as product strategy, ops, policy etc. to develop, implement and continuously improve quality, reliability, security and maintainability of software releases within the Salesforce implementation
•	Foster a culture of learning, experimentation and continuous improvement in the software engineering team
•	Contribute to recruitment efforts as part of recruitment panel, particularly for Salesforce roles.
•	Keep abreast of new AI and software engineering practices and technologies as well as proactively identify and initiate software engineering initiatives that leverage Salesforce capabilities to maximise impact on public good in the social services sector and continuously improve the software engineering’s team internal workflow and practices",Ministry Of Social And Family Development,"InfoComm, Technology, New Media Communications"
138,[SSP/OSD] Senior Manager (Engagement and Organisational Development),"The Organisational and Systems Development Division under the Social Support Group (SSP) oversees people and organisational development, corporate planning as well as ops tech and systems integration to better deliver value to clients, staff and stakeholders.
 Competencies Required: 

-	Degree in any discipline
-	Strong analytical skills and creativity, including ability to identify gaps, propose relevant and creative solutions and implement them
-	Strong interpersonal and communication/engagement skills, including ability to engage different stakeholders to deepen understanding of issues and co-create solutions
-	Empathetic and people-oriented; displays genuine interest in the well-being of fellow colleagues 
-	Team player who is independent, motivated and resourceful
-	Relevant training in Organisational Development, Human Resource and/or experience with the social service sector will be advantageous  


 You will be part of the team that oversees strategic manpower planning and organisational development strategies in SSP. The team is responsible for planning, management and deployment of manpower to ensure that SSP Divisions are adequately resourced. The team also drives the development of strong organisational culture, job satisfaction and staff well-being within SSP through the implementation of various organisational development and employee engagement strategies. 

You will be part of a team responsible for fulfilling the following responsibilities and functions – 

-	Design and implement organisational development (OD) strategies and engagement to facilitate organisational effectiveness, foster job satisfaction and nurture a sense of belonging to MSF. 
-	Design and implement culture assessment and transformation initiatives, and partner SSP’s leadership to embed cultural values into daily operations and decision-making processes.
-	Design and implement employee engagement and development initiatives based on an employee life cycle’s perspective from onboarding, career and professional development, progression to exit. 
-	Plan, curate and organise staff engagement initiatives, including townhalls and employee engagement sessions, staff development and bonding activities. 
-	Analyse findings from employee engagement surveys for SSP, identify potential gaps and focus areas and come up with recommendations on follow-up actions or initiatives. 
-	Support change management efforts in SSP, including organising internal communications platforms, crafting communication messages and working with Divisions and management on the pacing of messages and announcements.",Ministry Of Social And Family Development,Others
139,"Assistant Director (Service Management), ECDA/CD","The Child Development Department in ECDA spearheads a wide range of initiatives to support the development of young children with developmental needs and young children from low-income families, to ensure that they have a good start.
The Early Intervention (EI) branch in the department oversees a continuum of services for young children (aged 6 years and below) with developmental needs. The team oversees the planning and development of EI programmes in preschools and the community, drives capability development initiatives for early intervention and inclusive practices, conducts research and evaluation • Strong communication (written and oral) and stakeholder engagement skills with the ability to articulate complex ideas clearly
• Analytical and problem-solving abilities, with the ability to synthesise complex data and information
• Leadership and team-management
• Strategic thinking and planning
• Ability to navigate and influence in a complex, multi-stakeholder environment
• Proven ability to lead and deliver in a fast-paced, dynamic setting
• Resilience and adaptability
• Project-management skills
• Data-driven decision making
• Innovation and change management As the Assistant Director of Early Intervention Programmes, you will play a crucial role in leading and overseeing the implementation, review, and enhancement of Early Intervention (EI) programmes. These programmes are vital in ensuring children with developmental needs can access timely, effective, and appropriate services. You will be responsible for strategic planning, team leadership, and driving innovation in programme delivery.
1. Strategic Programme Management:
- Lead the review, development, and implementation of operational policies and data-driven strategies for EI programmes.

2. Team Leadership and Guidance:
- Guide and mentor a team of officers, fostering a culture of excellence and innovation.

3. Capability Building and Knowledge Management
- Develop and roll-out cross-cutting SOPs and sector standards
- Build stakeholder capabilities through tools, frameworks and knowledge sharing initiatives

4. Stakeholder Management and Collaboration:
- Lead collaborations with internal divisions and external partners, representing the department in key meetings.

5. Data Analysis and Programme Evaluation:
- Oversee analysis of Key Performance Indicators and Monitoring Indicators, develop evaluation frameworks, and utilise insights to inform policy recommendations.

6. System and Workflow Optimisation:
- Work with the system team to articulate future state requirements for new system development and optimise workflows across EI services.

7. Ops-Policy Development and Submissions:
- Draft and review ops-policy documents, submissions and reports, ensuring alignment between operational realities and policy objectives.

8. Other strategic work as required",Ministry Of Social And Family Development,Social and Community Development
140,"Manager/Senior Manager (Planning & Organisation Development), ECDA/CDS","The Planning & Organisation Development (POD) team in the Corporate Development and Services (CDS) Division plays a vital role in shaping ECDA's strategic direction and developing our people. This role presents an opportunity to drive transformative change and build a high-performing culture through strategic planning and capability development initiatives. - Candidates with experience at Manager (3+ years) or Senior Manager (5+ years) level, with proven track record in strategic planning, corporate planning, or organisational transformation.
- Strong candidates with equivalent experience in driving complex initiatives in other areas will be considered.
- Analytical individual who thrives in ambiguous environments and drives results through change
- Demonstrated ability to influence and collaborate effectively across all levels of the organisation
- Strategic thinker who thrives in ambiguous environments and drives results through change
- Strong communicator who brings diverse perspectives together for effective solutions
- Proven problem-solving skills with the ability to lead and deliver initiatives We are looking for a dynamic, resourceful and highly-driven individual to join our team. In partnership with the team, you will play a crucial role in delivering the following areas:

1. Strategic/Corporate Planning
a. Develop and execute overall strategic roadmap, from shorter-term workplans to mid- and long-term directions and goals.
b. Support organization-wide transformation initiatives including developing and implementing change management strategies to enhance operational effectiveness.
c. Lead as secretariat for strategic planning meetings and ensure follow through of key decisions.
d. Lead in the coordination of Business Continuity Plan (BCP) as part of Enterprise Risk Management

2. Staff Development and Capability building
a. Drive ECDA’s strategic capability development to build a future ready workforce.

The role also includes supporting team initiatives and cross-functional projects as needed, and there will be opportunities to take on additional projects based on your interests and capabilities.",Ministry Of Social And Family Development,Social and Community Development
141,Assistant Manager/Manager/Senior Manager (Manpower Policy),"Sector Strategy and Development (SSD) develops policies and programmes which deliver: 

a)	Sustainable and well-planned services 
b)	A competent and future-ready workforce
c)	Future-ready social service agencies that deliver quality services, and
d)	A well-resourced sector with active contributions from the community. 

Manpower Policy and Planning (MPP) Division develops and reviews sector-level policies and drives manpower planning for the social and early childhood (EC) sectors.

You will drive sector manpower attraction, retention and development strategies to ensure an adequate supply of manpower for our sector, especially for key professions.   • Academic background in a related discipline, with interest in the social sector
• Good understanding of Singapore’s social service sector/ landscape would be an advantage
• Creative, analytical, resourceful and highly motivated. 
• Strong data analysis, systems-thinking, and policy development skills. 
• Strong written and verbal communication skills. 
• Strong interpersonal skills; comfortable working with people of all levels and able to build good collaborative relationships with internal and external stakeholders. 
• Effective team player with good team and project management skills 
• Ability to translate policy considerations into implementation, balancing strategic policy objectives with practical ground realities. 

The office location is at Westgate (Jurong East). 

You will be notified whether you have been shortlisted within 4 weeks from the closing date of this job posting. • Develop strategies to attract, retain and develop key professionals for the sector, to improve the value proposition of the sector as a career of choice
• Develop/ review policies on progressive Human Resource practices in the sector which support organisational capacity building, in areas such as salaries and working conditions
• Develop/ review policies for professional development and career progression",Ministry Of Social And Family Development,Policy Formulation
142,"Manager/Senior Manager (Ops Tech), RPG/POP","Looking for a workplace with passion and commitment to empower and restore lives of the vulnerable population in Singapore? Join the Rehabilitation and Protection Group (RPG)! RPG undertakes the statutory functions in the rehabilitation of adult and youth offenders, and the protection of children and families. Our mission is to empower individuals and families to break cycles of abuse, neglect and offending. 

As part of the RPG family, Prevention and Operations Policy (POP) division complements RPG’s remedial work, in coordinating whole-of-government efforts to prevent domestic violence and youth offending. POP also oversees the RPG centralised Data Management and Operational technology functions.
 •	Good communication and presentation skills, with the ability to explain technical concepts to non-technical audiences.
•	Strong analytical skills to problem-solve, ideate, design, prototype and implement ops tech solutions to improve business processes
•	Team player experienced in collaborating with internal and external stakeholders.
•	Experience with project management methodologies and process mapping
•	Resilience and adaptability in a dynamic environment
•	Keen interest in blending technological innovation with social impact to make a difference in the lives of vulnerable individuals and communities.
 Reporting to the Assistant Director, you will contribute to the following: 
1.	Oversee end to end of system projects/enhancements, which includes timelines, budget and other requirements.
2.	Coordinate and Collaborate with stakeholders to ensure efficient utilisation of resources, support system administration and manage queries, issues and feedback.
3.	Oversee and guide staff in administrative support for RPG Systems, which includes requirements gathering, user acceptance testing, verification, migration and related.
4.	Analyse operations and processes to identify improvement opportunities
5.	Design, prototype and implement new ops tech solutions to optimise protection processes and operations. 
6.	Lead end-to-end implementation of ops tech initiatives from conceptualisation to deployment
7.	Develop and maintain documentation for processes and systems
8.	Monitor and maintain systems and implement improvements Provide administrative support for data governance and management
",Ministry Of Social And Family Development,Social and Community Development
143,"Assistant Director, Product Strategist, SIR/CCPO","As a CaseCentral Product Strategist, you will be part of a team to drive product vision and strategy, ensuring our solutions meet user needs whilst delivering business value and outcomes. This role requires the candidate to bridge business objectives, user needs, and technological capabilities to shape the product’s direction and growth.

Users of the product come from different domains within the social service sector across MSF and our service partners (SSAs - social service agencies), in delivering services to clients and their families.
 Requirements: 

1. Experience: 
o	Minimum of 5 years of experience in product management, product strategy, digital transformation, or a related field, with a proven track record of driving strategic initiatives, particularly in the context of large-scale products with diverse user groups.
o	Experience defining and tracking metrics that measure the success of products

2. Professional Certification: Certifications in product management would be advantageous 

3. Skills:
o	Proven experience in product management or strategy preferably within the social service sector or similar domains.
o	Good understanding of product management concepts and best practices.
o	Excellent communication and interpersonal skills, with the ability to influence and engage stakeholders at all levels.
o	Proficient in developing and implementing strategies around resource prioritization, aligning implementation and change management plans.
o	Strong problem-solving skills, comfortable with system-thinking and the ability to address complex challenges.
o	Ability to work independently and able to manage a rapidly changing policy and operating context.
o	Experience with Salesforce solutions and familiarity with the specific challenges associated with their adoption would be advantageous.

Only shortlisted candidates will be notified within 4 weeks from the closing date of this position. Key Responsibilities:

•	Strategy Initiatives: Develop and maintain product strategy initiatives aligned with MSF’s strategic outcomes, and continuously refine product’s objectives and key results (OKRs).
•	Drive Product Outcomes: Partner cross-functional teams and product squads to translate strategic initiatives into product outcomes.
•	Stakeholder Management: Have a good grasp of the change impact within the various domains and cater differentiated strategies for different domains and stakeholders where applicable. Present strategic recommendations to senior stakeholders, supported by data-driven insights.
•	Product Innovation: Monitor developments and emerging technologies to maintain product’s competitive advantage and enhance user-centricity.
•	Resource Management and Control: Collaborate with corporate divisions to ensure seamless resourcing for product development in a continuous improvement model.
•	Facilitation of Strategic Events or Platforms: Plan and drive strategic retreats, discussions, focus groups and visioning exercises to inform renewal and refinement of product strategies.

",Ministry Of Social And Family Development,Organisation Development
144,"Assistant Manager/Manager (Operations Policy), ECDA/RL","The Early Childhood Development Agency (ECDA) serves as the regulatory and developmental authority for the early childhood sector in Singapore, overseeing key aspects of children’s development below the age of 7 in early childhood development centres (i.e.  kindergartens and childcare centres). ECDA is jointly overseen by the Ministry of Education (MOE) and the Ministry of Social and Family Development (MSF) and is hosted under MSF.

The Regulation and Licensing Division is responsible for setting the regulatory standards and framework to ensure that for early childhood development centres (ECDCs) meet the standards of care and education necessary for children’s development in their early years. We do this in accordance with the Early Childhood Development Centres (ECDC) Act and Regulations, and maintain an overview of whether these legislative levers continue to be relevant as the early childhood sector and Singapore’s societal needs evolve. This involves regular reviews of sector development plans, regulatory requirements and enforcement frameworks, assessments of ECDCs for licence issuance and renewals, investigations on incidents and public feedback, and taking enforcement actions for non-compliances. 
 •	At least 2-3 years’ experience in policy development, operations policy and/or legislative work preferred. 
•	Strong analytical and logical thinking capability, with an ability to conceptualise broad ideas yet also pay attention to details.
•	Strong in writing and possess an ability to communicate clearly and persuasively.
•	Systematic and manages timelines well; able to work independently in a fast-paced environment. 
•	Good team-player with well-rounded interpersonal skills to work across teams and with diverse stakeholders (public and private sector). 
 In this operations-policy role, you will be involved in legislative reviews, translating of broader policies and legislation into guidelines and parameters for operationalisation, and framing of public communications. You will also be required to work closely with the policy directorate in MSF and involved in broader sector development reviews led by the policy directorate.
You will be involved in the following key areas:
•	Review of Early Childhood Development Centres (ECDC) Act and Regulations to uplift the standards and quality of care in preschools in Singapore. This includes gap analyses to identify legislative changes that are required and analyses of operational implications of such reviews.
•	Review regulatory standards and operational policies to operationalise legislative levers. This includes engagements with preschool operators, government agencies and other stakeholders.
•	Conceptualise and launch public communications efforts to create buy-in on legislative/regulatory changes from various stakeholders (e.g., preschool operators, parents, broader public), and prepare communication materials to address queries on regulatory requirements and breaches. 
•	Assessment of new applications for ECDC licences.
",Ministry Of Social And Family Development,Social and Community Development
145,"Assistant Manager/Manager (Operations Planning), ECDA/RL","The Early Childhood Development Agency (ECDA) serves as the regulatory and developmental authority for the early childhood sector in Singapore, overseeing key aspects of children’s development below the age of 7 in early childhood development centres (i.e.  kindergartens and childcare centres). ECDA is jointly overseen by the Ministry of Education (MOE) and the Ministry of Social and Family Development (MSF) and is hosted under MSF.

The Regulation and Licensing Division is responsible for setting the regulatory standards and framework to ensure that for early childhood development centres (ECDCs) meet the standards of care and education necessary for children’s development in their early years. We do this in accordance with the Early Childhood Development Centres (ECDC) Act and Regulations, and maintain an overview of whether these legislative levers continue to be relevant as the early childhood sector and Singapore’s societal needs evolve. This involves regular reviews of sector development plans, regulatory requirements and enforcement frameworks, assessments of ECDCs for licence issuance and renewals, investigations on incidents and public feedback, and taking enforcement actions for non-compliances. 
 •	At least 2-3 years’ experience in operations policy and/or strategic planning.
•	Strong analytical and logical thinking capability, with an ability to conceptualise broad ideas yet also pay attention to details.
•	Strong in writing and possess an ability to communicate clearly and persuasively.
•	Systematic and manages timelines well; able to work independently in a fast-paced environment. 
•	Proficiency in working with data and digital tools would be an advantage.
•	Good team-player with well-rounded interpersonal skills to work across teams and with diverse stakeholders (public and private sector). 
 This is an operations-planning role, where you will be involved in strategic planning and communications, emergency preparedness planning, and efforts to strengthen manpower capability in the Division. You will also be required to work closely with the policy directorate in MSF and involved in broader sector development reviews led by the policy directorate.

You will be involved in the following key areas:
•	Review of scope and definition of licensing framework and processes, and spearhead strategic planning and reviews for the Division.

•	Collect and analyse data related to the regulation of preschools, and develop and maintain dashboards to monitor such data, to support the development and implementation of strategic plans and improvements to licensing and investigation processes. 

•	Transform work processes for more effective implementation of operations policies, such as by leveraging on technology to operationalise legislative levers and improve operational efficacy. 

•	Finetune and maintain emergency response protocols and crisis management plans to ensure operational readiness of the preschool sector and the Division. This includes coordination with different agencies/stakeholders for an integrated crisis response.

•	Develop, implement, and maintain a structured training roadmap for officers in the Division. 

•	Conceptualise and launch public communications efforts to create buy-in on legislative/regulatory changes from various stakeholders (e.g., preschool operators, parents, broader public), and prepare communication materials to address queries on regulatory requirements and breaches.

•	Assessment of new applications for ECDC licences.
",Ministry Of Social And Family Development,Social and Community Development
146,"Assistant Manager/Manager (EI Salary Compliance), ECDA/SP","The Early Childhood Development Agency (ECDA) serves as the regulatory and developmental authority for the early childhood sector in Singapore, overseeing key aspects of children’s development below the age of 7, across both kindergartens and childcare centres. ECDA is an autonomous agency jointly overseen by the Ministry of Education (MOE) and the Ministry of Social and Family Development (MSF) and is hosted under the Ministry of Social and Family Development.   
The Sector Planning Department in ECDA oversees infrastructure planning as well as manpower planning & programmes to ensure necessary resources are in place for the delivery of infant, preschool and early intervention services. 
 •	Prior work experience or related professional qualification in manpower or HR policy development, especially in compensation and career management will be an advantage. 
•	Sound analytical abilities and comfortable working with quantitative/financial data. 
•	Competent at synthesising and analysing raw datasets, and visualising data effectively to convey insights 
•	Good written and communication skills to present views clearly and persuasively 
•	Good team-player with well-rounded interpersonal skills to work across teams and with diverse stakeholders (public and private sector). 
•	Meticulous and comfortable to work within tight timelines and adaptable to changes. 
 As a member of the Manpower Planning team under the Sector Planning Department, you will join a dynamic close-knit team that drives manpower solutions in the early childhood and early invention sector in close collaboration with our industry partners, various other agencies as well as political office holders. 

You will be involved in the following key areas:
•	Reviewing the compensation structure and career progression of Early Intervention (EI) professionals, taking into consideration the relativity to job roles in the General Market and other comparable sectors. 
•	Working with government-supported EI operators to track and assess their progress in meeting manpower-related key performance indicators (KPIs), recommending ways to partner the operators to achieve the desired outcomes. 
•	Managing EI job and compensation data and performing analytics to support review of manpower policies and initiatives.
•	Formulating and implementing initiatives to enhance the HR capabilities and practices of EI operators. 
•	Engaging and liaising with diverse range of stakeholders such as preschool operators and government agencies. 
•	Secretariat duties for government committees and workgroups related to ECDA’s mission. 
",Ministry Of Social And Family Development,Social and Community Development
147,"Manager/Senior Manager (Strategy and Women's Development), FCD/SWD","The Strategy and Women’s Development Division (SWD) is the national focal point on gender matters in Singapore. A key mandate for SWD is to strengthen the eco-system for women’s development and represent Singapore on women’s matters internationally.  •	Relevant qualification
•	Strong interest in women’s development issues as well as current and international affairs 
•	3-5 years of working experience preferably in areas related to policy-making and stakeholder engagement
•	Strong conceptualisation and analysis skills
•	Systematic, meticulous, and good project management skills
•	Excellent written and communication skills, including in public communications 
•	Good team-player with well-rounded interpersonal skills to work across teams and engage diverse stakeholders (public and private sector)
•	Able to work independently and thrive in a fast-paced environment

 You will join a dynamic and close-knit team of officers in SWD to strengthen support for women towards a fairer and more inclusive society. You will be involved in working with public sector agencies and various women’s organisations to develop and review policies for women’s development, leading the implementation of the White Paper on Singapore Women’s Development, and facilitating greater women’s representation in leadership roles, including on boards in the private, public and people sector. 
 
You will also manage issues related to SWD’s engagement with regional and international counterparts and fora pertaining to women’s development, including monitoring the progress and implementation of Singapore’s obligations to the United Nations Convention on the Elimination of All Forms of Discrimination against Women, and represent Singapore at regional and international meetings.
",Ministry Of Social And Family Development,Social and Community Development
148,"Manager/Senior Manager (Family & Early Childhood), FCD/FEC","The Family & Early Childhood (FEC) division sits under the Family and Child Development (FCD) Policy Directorate. The FEC division formulates and reviews policies that promote and strengthen families, in support of MSF’s macro outcomes to support marriage and parenthood actualisation and build strong and resilient marriages and families.  •	Strong analytical and critical thinking, writing and communication skills
•	Ability to analyse issues from a strategic perspective and take a system view, while having a good grasp of details and processes
•	Strong problem-solving skills
•	Good stakeholder engagement and management skills 
•	Candidates with relevant working experience would have an advantage
•	Ability to work well independently and in teams
•	Driven and proactive, able to lead projects independently

Only shortlisted candidates will be notified within 4 weeks from the closing date of this position. The officer will work with other stakeholders in the Government to formulate and review policies. 

•	Study emerging trends and assess its impact on families; 
•	Understand Singaporeans’ attitudes and beliefs about the institution of family;
•	Develop and execute engagement plans with community stakeholders to build networks and trust, and gain a better understanding of different views towards the institution of family; 
•	Continually assess and shape the definition and perception of family in Singapore, while accounting for demographic trends and evolving social norms; 
•	Conduct robust research and analysis, and engage stakeholders to understand and strengthen the ecosystem of family support services and programmes;
•	Formulate effective policies and programmes, with other agencies to address potential gaps that support various types of families; and 
•	Review legislation to ensure it remains relevant in supporting our policies and programmes.",Ministry Of Social And Family Development,Policy Formulation
